,No,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
0,12,Paul Pogba,Manchester United,35,3013,13,9,15.88,5.19,0.47,0.15
1,19,Romelu Lukaku,Manchester United,32,2113,12,0,13.11,2.32,0.56,0.1
2,27,Anthony Martial,Manchester United,27,1632,10,2,7.95,3.25,0.44,0.18
3,28,Marcus Rashford,Manchester United,33,2360,10,6,11.61,5.27,0.44,0.2
4,77,Jesse Lingard,Manchester United,27,1677,4,2,4.84,3.16,0.26,0.17
5,96,Juan Mata,Manchester United,22,1306,3,2,1.58,3.70,0.11,0.26
6,133,Ander Herrera,Manchester United,22,1404,2,3,1.51,2.06,0.1,0.13
8,155,Scott McTominay,Manchester United,16,852,2,0,1.59,0.02,0.17,0.0
9,173,Alexis SÃ¡nchez,Manchester United,20,875,1,3,1.71,3.55,0.18,0.36
